userId,movieId,rating,timestamp
19,2041,4.0,965708002
323,110,2.0,1422640359
561,4980,3.0,1491095342
438,4887,3.0,1105664708
590,2324,4.0,1258421107
57,2802,3.0,969754753
610,80126,3.5,1493847754
187,1917,1.5,1161863936
41,55820,5.0,1459368455
68,8636,4.5,1158531383
474,2912,3.5,1089387089
411,587,4.0,835532614
11,1584,5.0,902155136
42,3948,3.0,996213481
495,2918,4.5,1458635301
438,1356,5.0,1105654476
594,839,5.0,1115885770
96,1079,5.0,964773877
446,597,3.0,843839290
514,2088,2.5,1534114302
448,2405,3.0,1019124481
90,82,5.0,856354212
304,1377,2.0,891173614
225,380,3.0,949111600
301,3948,3.5,1211378441
40,228,3.0,832060190
393,4011,5.0,1430506157
448,96114,2.0,1377516263
279,68157,4.0,1506394604
58,590,3.0,847718380
608,3753,4.0,1117490674
524,454,3.0,851608911
608,3300,4.5,1117505060
448,6281,3.0,1104484674
292,65088,3.5,1245511528
247,115617,4.5,1467644319
105,110586,4.0,1447516176
480,4878,5.0,1179160105
592,145,3.0,837354148
64,1732,5.0,1161521585
28,3173,2.0,1242290846
57,908,5.0,965795827
469,909,5.0,965425327
391,1179,4.0,1031030437
525,551,4.0,1476478152
105,293,5.0,1446571797
563,104906,4.0,1441845128
111,2078,3.5,1517440229
250,45,4.0,1121217522
555,372,4.0,978746793
562,100306,3.5,1368893445
492,886,5.0,863976846
4,4902,4.0,1007569465
479,2243,5.0,1039367579
483,2529,3.0,1215895478
227,117533,4.0,1447210317
567,79132,3.0,1525287376
480,37739,2.5,1179160322
105,88345,4.0,1446573197
20,1030,3.0,1054038374
182,3981,2.0,1063282502
121,497,3.0,847656316
603,2160,4.0,953925483
29,356,4.5,1362016780
274,420,3.5,1171934917
292,587,3.5,1265680435
294,1967,2.0,966634162
339,90531,3.5,1494291381
177,86487,4.5,1435803472
4,235,2.0,945173513
187,145,1.0,1161849123
294,733,4.0,966634003
596,68358,4.0,1535826934
590,3035,4.0,1258429398
509,7458,2.5,1435993641
474,1177,5.0,979180476
381,5299,5.0,1200824311
500,2542,5.0,1005527824
305,4007,4.0,1460227635
274,801,3.5,1172026606
202,2402,2.0,974924550
391,4967,3.0,1030945731
376,1372,3.5,1364932606
599,71535,3.0,1498524922
45,33004,4.0,1121724181
50,112183,3.0,1514239065
552,3173,1.5,1112151365
561,5944,3.0,1491094572
404,539,4.0,838375976
332,4270,3.5,1352672612
381,62,4.5,1263494357
135,1562,2.0,1009693022
282,413,3.5,1378488934
307,54004,4.0,1196131079
480,5481,4.0,1179164284
422,2581,3.0,1010279673
266,1663,5.0,945669878
280,3753,4.5,1348532674
610,133802,4.0,1493849992
606,4881,4.5,1171310956
140,3317,2.0,1007139599
385,1258,4.0,865025596
275,2391,4.0,1049078765
409,3273,3.0,968978439
420,3745,3.0,1218036280
234,3977,4.0,1004407518
579,3453,2.0,958880864
597,1918,4.0,941729229
263,802,3.0,941591735
287,608,4.5,1110231586
274,52973,3.5,1186723324
434,5418,4.0,1270604720
68,4351,3.0,1158535559
372,1408,5.0,874416908
324,3910,4.0,974906585
583,1907,4.0,1481474543
84,590,4.0,858772306
596,132454,3.5,1535833188
610,3863,3.0,1493848101
608,5218,4.0,1147794876
111,410,4.0,1517441305
454,2858,5.0,1279480578
607,380,4.0,963079014
187,288,3.0,1180734881
91,2997,3.5,1112711084
380,3639,3.0,1494804568
227,48738,5.0,1447210376
199,1094,3.0,940544026
414,5437,3.0,1024928648
15,111759,4.5,1510572026
288,1375,3.5,1054569512
599,473,1.0,1519334961
419,2700,5.0,1350345033
24,68358,4.0,1458941567
232,40581,3.0,1218167259
171,500,4.0,866905267
414,80969,4.0,1298751655
